symbol,open,ltp,prev_close,volume,prev_vol,high,low,index,gap_pct
HDFCBANK,730.0,732.15,742.25,7615242,11168656577811,734.4,726.65,NIFTY 100,-1.6503873358033008
MAZDOCK,2250.0,2220.0,2318.2,1063615,168198787291,2271.3,2202.8,NIFTY 100,-2.9419377102924607
SBIN,1000.0,986.5,1017.8,2379535,4082249022655,1005.0,984.6,NIFTY 100,-1.7488701120062837
INDIGO,4070.0,4003.6,4180.8,586648,902931329366,4070.0,3970.0,NIFTY 100,-2.6502104860313858
LT,3539.3,3484.8,3607.5,667301,4078341660888,3539.3,3475.0,NIFTY 100,-1.8905058905058854
M&M,2975.0,2949.3,3031.5,768954,2626057999075,2988.0,2928.1,NIFTY 100,-1.8637638132937488
ETERNAL,230.95,228.8,236.52,8301417,1640916958614,232.39,228.0,NIFTY 100,-2.3549805513275923
SUNPHARMA,1665.0,1658.5,1728.5,998440,1750159306930,1669.7,1620.0,NIFTY 100,-3.673705525021695
SHRIRAMFIN,876.0,865.6,900.55,1868551,1208597208014,880.4,863.45,NIFTY 100,-2.726111820554101
AXISBANK,1174.6,1163.9,1193.1,1215383,3330635445862,1177.9,1156.1,NIFTY 100,-1.55058251613444
TMCV,390.0,376.55,396.05,2854010,784662314117,390.0,376.05,NIFTY 100,-1.5275849008963542
KOTAKBANK,350.3,346.25,356.05,2966807,2543063110408,351.75,345.5,NIFTY 100,-1.6149417216683049
JIOFIN,227.85,225.49,231.93,4506152,737340168057,228.9,225.05,NIFTY 100,-1.759151468115385
ADANIENT,1805.0,1790.7,1842.5,544000,520412107883,1812.6,1770.1,NIFTY 100,-2.03527815468114
ADANIPORTS,1354.4,1340.2,1385.4,712620,985494631466,1360.0,1332.6,NIFTY 100,-2.23762090371012
BPCL,275.3,269.35,281.25,3183874,544865560015,276.0,268.0,NIFTY 100,-2.1155555555555514
DLF,501.0,493.35,509.75,1490471,314730267058,501.0,489.4,NIFTY 100,-1.716527709661599
HINDZINC,510.0,505.45,524.45,1250877,218742085777,517.7,505.0,NIFTY 100,-2.755267423014595
PFC,391.05,384.25,397.7,1330830,557791590478,392.7,383.2,NIFTY 100,-1.6721146592909173
TMPV,298.0,297.2,302.95,1692403,620798361825,299.95,295.75,NIFTY 100,-1.6339329922429406
ADANIENSOL,940.0,909.0,956.6,528587,314461070198,944.95,903.15,NIFTY 100,-1.7353125653355659
LODHA,675.0,654.55,685.35,547244,183933779165,677.0,652.65,NIFTY 100,-1.5101772816808963
BSE,2808.0,2787.3,2867.6,1092728,1137115811775,2834.4,2763.0,NIFTY 200,-2.078393081322357
MCX,2425.0,2381.0,2469.7,555648,606256488869,2435.0,2361.0,NIFTY 200,-1.809936429525846
COFORGE,1133.3,1156.2,1153.9,886101,387336242934,1165.5,1130.0,NIFTY 200,-1.7852500216656673
COCHINSHIP,1300.0,1286.8,1338.6,730649,108527267176,1308.9,1277.5,NIFTY 200,-2.8836097415209854
HINDPETRO,329.0,320.15,335.55,1931221,306818084327,329.65,318.85,NIFTY 200,-1.9520190731634663
RVNL,256.02,252.38,262.61,1904788,142932787874,258.39,251.41,NIFTY 200,-2.5094246220631478
INDUSINDBK,772.2,756.8,785.65,505290,496624785485,773.0,755.55,NIFTY 200,-1.7119582511296292
JSWENERGY,476.0,470.95,484.15,584767,253170526736,478.25,466.3,NIFTY 200,-1.6833625942373185
LTF,240.1,235.54,244.64,641092,199898114734,241.99,235.12,NIFTY 200,-1.855788096795288
NYKAA,235.34,236.0,239.97,607082,321892784845,237.83,233.01,NIFTY 200,-1.9294078426469956
